_1961,Country_Name,Indicator_Name
1.01449275362319E+01,Bahrain,Agricultural land (% of land area)
1.03255836623288E+01,Sweden,Agricultural land (% of land area)
1.05263157894737E+00,Turks and Caicos Islands,Agricultural land (% of land area)
1.08695652173913E+01,Seychelles,Agricultural land (% of land area)
1.09305304067482E+00,Papua New Guinea,Agricultural land (% of land area)
1.11111111111111E+01,Aruba,Agricultural land (% of land area)
1.11942959001783E+01,Equatorial Guinea,Agricultural land (% of land area)
1.12500000000000E+01,Cayman Islands,Agricultural land (% of land area)
1.20218579234973E+01,French Polynesia,Agricultural land (% of land area)
1.22846781504986E+01,Jordan,Agricultural land (% of land area)
1.24247400109469E+01,Fiji,Agricultural land (% of land area)
1.27882227740333E+01,Benin,Agricultural land (% of land area)
1.32468750000000E+01,Peru,Agricultural land (% of land area)
1.42778993435449E+01,New Caledonia,Agricultural land (% of land area)
1.50000000000000E+01,American Samoa,Agricultural land (% of land area)
1.50000000000000E+01,Nauru,Agricultural land (% of land area)
1.54673839946200E+01,Timor-Leste,Agricultural land (% of land area)
1.58871189524233E+01,Cameroon,Agricultural land (% of land area)
1.59592373840928E+01,Myanmar,Agricultural land (% of land area)
1.61290322580645E+01,Cabo Verde,Agricultural land (% of land area)
1.66666666666667E+01,Maldives,Agricultural land (% of land area)
1.66666666666667E+01,San Marino,Agricultural land (% of land area)
1.70134373645427E+01,Ecuador,Agricultural land (% of land area)
1.80032601152338E+01,Chile,Agricultural land (% of land area)
1.80101075119584E+01,Brazil,Agricultural land (% of land area)
1.89083820662768E+01,Trinidad and Tobago,Agricultural land (% of land area)
1.90915045303014E+01,Algeria,Agricultural land (% of land area)
1.93308550185874E+01,Vietnam,Agricultural land (% of land area)
1.93891464412326E+01,Japan,Agricultural land (% of land area)
1.96498749553412E+00,Solomon Islands,Agricultural land (% of land area)
1.97879858657244E+01,Samoa,Agricultural land (% of land area)
1.99297530024926E+01,Cambodia,Agricultural land (% of land area)
2.01202643071084E+01,Iraq,Agricultural land (% of land area)
2.01614468118136E+01,Gabon,Agricultural land (% of land area)
2.08955223880597E+01,Singapore,Agricultural land (% of land area)
2.11471321695761E+01,Iceland,Agricultural land (% of land area)
2.13074846679952E+01,Indonesia,Agricultural land (% of land area)
2.14899713467049E+00,Faroe Islands,Agricultural land (% of land area)
2.18455743879473E+01,Panama,Agricultural land (% of land area)
2.26666666666667E+01,Dominica,Agricultural land (% of land area)
2.27272727272727E+01,Antigua and Barbuda,Agricultural land (% of land area)
2.28092152909628E+01,Thailand,Agricultural land (% of land area)
2.36136783733826E+01,Israel,Agricultural land (% of land area)
2.46920492721165E+01,Guatemala,Agricultural land (% of land area)
2.48461538461538E+01,Nepal,Agricultural land (% of land area)
2.48677666377201E+01,Niger,Agricultural land (% of land area)
2.48803827751196E+00,United Arab Emirates,Agricultural land (% of land area)
2.56410256410256E+01,St. Vincent and the Grenadines,Agricultural land (% of land area)
2.58599879299940E+01,Philippines,Agricultural land (% of land area)
2.59715627059821E+01,Zambia,Agricultural land (% of land area)
2.59779214712463E+01,Mali,Agricultural land (% of land area)
2.62043795620438E+01,Paraguay,Agricultural land (% of land area)
2.62820512820513E-01,Suriname,Agricultural land (% of land area)
2.66333005630530E+01,Honduras,Agricultural land (% of land area)
2.68168604651163E+01,Liberia,Agricultural land (% of land area)
2.73207990599295E+01,Costa Rica,Agricultural land (% of land area)
2.74756817094562E+01,Sri Lanka,Agricultural land (% of land area)
2.77319302132373E+01,Bolivia,Agricultural land (% of land area)
2.78688524590164E+01,St. Lucia,Agricultural land (% of land area)
2.83097646785035E+00,Norway,Agricultural land (% of land area)
2.83960191288613E+01,Zimbabwe,Agricultural land (% of land area)
2.85025760345687E+01,Nicaragua,Agricultural land (% of land area)
2.93519981937232E+01,Tanzania,Agricultural land (% of land area)
2.96296296296296E+01,Guam,Agricultural land (% of land area)
2.97478070175439E+01,Burkina Faso,Agricultural land (% of land area)
3.30540037243948E+01,Cuba,Agricultural land (% of land area)
3.34410339256866E+00,Oman,Agricultural land (% of land area)
3.39414509970301E+01,Malawi,Agricultural land (% of land area)
3.42857142857143E+01,Virgin Islands (U.S.),Agricultural land (% of land area)
3.46339324857519E+00,Belize,Agricultural land (% of land area)
3.60252365930599E+01,Colombia,Agricultural land (% of land area)
3.61873095040177E+01,Sierra Leone,Agricultural land (% of land area)
3.64583333333333E+01,Sao Tome and Principe,Agricultural land (% of land area)
3.64657950097196E+01,China,Agricultural land (% of land area)
3.75000000000000E+01,Tonga,Agricultural land (% of land area)
3.80158730158730E+01,Chad,Agricultural land (% of land area)
3.83448142039391E+01,Mauritania,Agricultural land (% of land area)
3.98481973434535E+00,Brunei Darussalam,Agricultural land (% of land area)
4.00000000000000E+01,British Virgin Islands,Agricultural land (% of land area)
4.00848494434081E+01,Saudi Arabia,Agricultural land (% of land area)
4.23497267759563E+01,Portugal,Agricultural land (% of land area)
4.37229437229437E+01,Cyprus,Agricultural land (% of land area)
4.39258247318357E+01,Switzerland,Agricultural land (% of land area)
4.39276485788114E+00,Qatar,Agricultural land (% of land area)
4.41860465116279E+01,Barbados,Agricultural land (% of land area)
4.42773307094915E+01,Kenya,Agricultural land (% of land area)
4.49124811717654E+01,Senegal,Agricultural land (% of land area)
4.49635036496350E+01,Albania,Agricultural land (% of land area)
4.51328762324208E+01,Uganda,Agricultural land (% of land area)
4.53228476821192E+01,Dominican Republic,Agricultural land (% of land area)
4.58080808080808E+01,Sudan,Agricultural land (% of land area)
4.58570626453838E+01,Angola,Agricultural land (% of land area)
4.58772254865633E+01,Botswana,Agricultural land (% of land area)
4.63496264009963E+01,Pakistan,Agricultural land (% of land area)
4.63917525773196E+01,Channel Islands,Agricultural land (% of land area)
4.69360735585274E+01,Namibia,Agricultural land (% of land area)
4.74474747605992E+01,Turkey,Agricultural land (% of land area)
4.81481481481481E+01,Kiribati,Agricultural land (% of land area)
4.82930298719772E+01,Guinea-Bissau,Agricultural land (% of land area)
4.87684729064039E+01,Mauritius,Agricultural land (% of land area)
4.88602417741752E+01,United States,Agricultural land (% of land area)
4.90433519011867E+01,Austria,Agricultural land (% of land area)
4.92151431209603E+01,Jamaica,Agricultural land (% of land area)
4.93081761006289E+01,Cote d'Ivoire,Agricultural land (% of land area)
5.03633951963869E+01,Argentina,Agricultural land (% of land area)
5.05753748810412E+01,Mexico,Agricultural land (% of land area)
5.10478237506717E+01,Comoros,Agricultural land (% of land area)
5.12790382355600E+01,Bulgaria,Agricultural land (% of land area)
5.14195306319768E+01,Ghana,Agricultural land (% of land area)
5.23591880629117E+01,Morocco,Agricultural land (% of land area)
5.25304268846503E+01,Ethiopia,Agricultural land (% of land area)
5.33036076205918E+01,Rwanda,Agricultural land (% of land area)
5.49364613880743E+01,Lebanon,Agricultural land (% of land area)
5.53191489361702E+01,Andorra,Agricultural land (% of land area)
5.54950877896486E+01,Germany,Agricultural land (% of land area)
5.56642636457261E+01,Tunisia,Agricultural land (% of land area)
5.61259706643658E+01,Djibouti,Agricultural land (% of land area)
5.62500000000000E+01,Liechtenstein,Agricultural land (% of land area)
5.62500000000000E+01,Malta,Agricultural land (% of land area)
5.64441993013422E+01,Togo,Agricultural land (% of land area)
5.70175438596491E+01,Isle of Man,Agricultural land (% of land area)
5.71428571428571E+01,St. Kitts and Nevis,Agricultural land (% of land area)
5.77459179609717E+01,Afghanistan,Agricultural land (% of land area)
5.83863214642555E+01,Nigeria,Agricultural land (% of land area)
5.88431953558299E+01,India,Agricultural land (% of land area)
5.93211933162085E+01,Mozambique,Agricultural land (% of land area)
5.94986163112486E+01,Guinea,Agricultural land (% of land area)
5.99179674148342E+01,New Zealand,Agricultural land (% of land area)
