Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03350351342131E+00,6.66111874337337E+00,8.03128623627265E+00,1.41125094284341E+01,1.36964407346005E+01,1.61699986258770E+01,1.75789001128797E+01,1.64158778561630E+01,1.81274984061127E+01,2.14441476228534E+01,2.58253228848899E+01,
Caribbean small states,CSS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84443893433242E+01,2.02649203900552E+01,2.26495463100479E+01,2.28290162432208E+01,2.79402047470579E+01,2.99426053847871E+01,3.07670045269107E+01,3.17265189857530E+01,3.24152567308276E+01,3.50520535067897E+01,3.66717425813534E+01,
Central Europe and the Baltics,CEB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72489978791081E+01,4.14290749640245E+01,4.46506230961426E+01,5.01808329138621E+01,5.44881897411455E+01,5.76504708878764E+01,5.98362141015418E+01,6.42890686759990E+01,6.44802617744732E+01,6.34750123667097E+01,6.35809567618441E+01,
Early-demographic dividend,EAR,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14793517837522E+00,4.81021000618474E+00,7.48157564517652E+00,1.05552024594048E+01,1.26020468260568E+01,1.43062677426235E+01,1.51738312901504E+01,1.66019895430756E+01,1.87185171041387E+01,2.28040891561551E+01,3.02835406751318E+01,
East Asia & Pacific,EAS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68353466310662E+01,2.83798073117654E+01,2.01935070406849E+01,2.55131161512556E+01,1.33902532510415E+01,1.49805354187620E+01,2.16384955429345E+01,3.09012137289082E+01,3.75129200530884E+01,4.67356090509175E+01,5.34694377859063E+01,
East Asia & Pacific (excluding high income),EAP,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50511356241245E+00,9.41321993773652E+00,9.62574105341180E+00,1.16626503767662E+01,1.09163122858895E+01,1.43515320914149E+01,1.43919086260290E+01,1.70078009389366E+01,2.00748402227670E+01,2.22180906164053E+01,3.66552761231949E+01,
East Asia & Pacific (IDA & IBRD countries),TEA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50511356241245E+00,9.41321993773652E+00,9.62574105341180E+00,1.16626503767662E+01,1.09163122858895E+01,1.43515320914149E+01,1.43919086260290E+01,1.70078009389366E+01,2.00748402227670E+01,2.22180906164053E+01,3.66552761231949E+01,
Euro area,EMU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77385940075621E+01,7.53779687539064E+01,8.00951999698770E+01,8.72902056308662E+01,8.97055161792263E+01,8.89555986213602E+01,9.10296385412800E+01,8.88052894883409E+01,8.50581006053379E+01,8.52253807171489E+01,8.07926100526103E+01,
Europe & Central Asia,ECS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74615245157346E+01,3.81696092408540E+01,4.00554203055289E+01,4.90736493542348E+01,5.44881897411455E+01,5.75590466058649E+01,5.87086070772153E+01,5.88438662625293E+01,5.87725326614561E+01,5.72166497561669E+01,5.89676876924898E+01,
Europe & Central Asia (excluding high income),ECA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99341656582408E+00,1.06413845770558E+01,1.70019162358337E+01,2.31341107789678E+01,3.02206484970622E+01,3.74107361521405E+01,3.79042929772362E+01,4.23473582686297E+01,4.63029977072963E+01,5.09890778237160E+01,5.45014256186253E+01,
Europe & Central Asia (IDA & IBRD countries),TEC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04235226211800E+01,1.37412483339941E+01,1.75642982069145E+01,2.56468092383730E+01,3.67949009633030E+01,4.27781600675850E+01,4.07326514081249E+01,4.27717104053055E+01,4.86868829447906E+01,5.28677711748061E+01,5.82658291286297E+01,
European Union,EUU,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94774767228553E+01,6.37366747648243E+01,6.98931516203057E+01,7.29231036457553E+01,7.95131603943952E+01,8.31831057757979E+01,8.34192266059958E+01,8.11351541067876E+01,7.84147730101174E+01,7.41722321963882E+01,6.47803745868948E+01,
Fragile and conflict affected situations,FCS,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47571913533110E-01,1.05285911055825E+00,1.36117064881414E+00,1.52616757031914E+00,2.84686442005038E+00,2.64185604067805E+00,2.85345833748171E+00,3.80870288609473E+00,,
Heavily indebted poor countries (HIPC),HPC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96275479648523E-01,5.47699464133525E-01,6.22928578421695E-01,1.00127586001584E+00,1.20861870518597E+00,1.50771035699082E+00,2.02061366467710E+00,2.72050689299680E+00,3.51360534960125E+00,4.27984308541364E+00,4.28015456398937E+00,
High income,HIC,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32605155101896E+01,6.39501853079704E+01,6.99518184309911E+01,7.54641809152256E+01,7.54428737947482E+01,7.25239040184040E+01,7.22806073391887E+01,7.02990013614727E+01,7.27334144843964E+01,6.86636566598348E+01,6.35809567618441E+01,
IBRD only,IBD,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72443222067920E+01,1.56190058152314E+01,1.89342136524848E+01,2.54534547471273E+01,2.86363010249101E+01,3.01022406592051E+01,3.46146374670517E+01,3.83981111695135E+01,4.13489279482641E+01,4.38879013773534E+01,4.96292217488210E+01,
IDA & IBRD total,IBT,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50478949938088E+00,5.06567632112744E+00,8.23518872333720E+00,1.23203188594477E+01,1.38189058603921E+01,1.49805354187620E+01,1.32895231354306E+01,1.50602894027422E+01,1.71630612561257E+01,2.22180906164053E+01,3.24991507759798E+01,
IDA blend,IDB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66334637564880E-01,9.78833245589679E-01,1.84456349139896E+00,4.43780733393199E+00,7.26959100078255E+00,7.72993427067345E+00,5.76543177020052E+00,7.19201762994741E+00,8.21835925813657E+00,8.17492488323740E+00,1.60542037471590E+01,
IDA only,IDX,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84542535297712E-01,7.47571913533110E-01,1.47405941112372E+00,2.44223899222642E+00,2.71985160517209E+00,2.90744466709809E+00,3.60616765992048E+00,4.25221848484336E+00,4.82196551831245E+00,5.26409643710546E+00,
IDA total,IDA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59415895171515E-01,1.24067058168553E+00,1.98875013328596E+00,2.56618683975686E+00,3.31306816140819E+00,3.44624419576038E+00,3.91358434184342E+00,4.54331389061488E+00,5.29337048517147E+00,7.52531617849121E+00,
Late-demographic dividend,LTE,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32112554833854E+01,2.71351948747925E+01,3.08866616417950E+01,3.56247427789088E+01,3.93640225067607E+01,4.10757939324997E+01,4.27527666103467E+01,4.69391468780105E+01,4.94709985656138E+01,5.28714059696231E+01,5.50308881081957E+01,
Latin America & Caribbean,LCN,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07063346928119E+01,2.29007241024629E+01,2.41161292169548E+01,2.55151533581801E+01,2.68427263915233E+01,2.88922027725341E+01,3.42866933638551E+01,3.37447271686286E+01,3.71837831945074E+01,4.05221435409336E+01,4.08431763192393E+01,
