Arab World,ARB,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03750000000000E+00,1.46111111111111E+00,1.58888888888889E+00,2.98500000000000E+00,4.34000000000000E+00,5.40500000000000E+00,5.42500000000000E+00,6.30500000000000E+00,7.29047619047619E+00,7.92380952380952E+00,9.51428571428571E+00,9.27619047619048E+00
Caribbean small states,CSS,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,2.86363636363636E+00,2.86363636363636E+00,2.86666666666667E+00,3.13333333333333E+00,3.47500000000000E+00,3.26666666666667E+00,3.53846153846154E+00,3.53846153846154E+00,4.86153846153846E+00,5.96153846153846E+00,7.26153846153846E+00
Central Europe and the Baltics,CEB,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88181818181818E+00,1.12454545454545E+01,1.58363636363636E+01,2.40909090909091E+01,2.67636363636364E+01,3.16454545454545E+01,3.98727272727273E+01,5.39454545454546E+01,5.30727272727273E+01,6.03272727272727E+01,6.17909090909091E+01,6.27000000000000E+01
Early-demographic dividend,EAR,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38644444444444E+01,1.36358490566038E+01,1.51830188679245E+01,1.81388888888889E+01,1.76462962962963E+01,1.83537037037037E+01,1.88500000000000E+01,1.96314814814815E+01,2.04160714285714E+01,2.21098360655738E+01,2.27491803278688E+01,2.28540983606557E+01
East Asia & Pacific,EAS,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84125000000000E+01,2.02958333333333E+01,1.99640000000000E+01,2.09320000000000E+01,2.20320000000000E+01,2.55520000000000E+01,2.83160000000000E+01,2.93480000000000E+01,2.92769230769231E+01,3.05241379310345E+01,3.13689655172414E+01,3.26827586206897E+01
East Asia & Pacific (excluding high income),EAP,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20000000000000E+00,2.80000000000000E+00,3.32777777777778E+00,4.14444444444444E+00,4.41666666666667E+00,9.42222222222222E+00,1.06333333333333E+01,1.12611111111111E+01,1.15473684210526E+01,1.16428571428571E+01,1.30904761904762E+01,1.42809523809524E+01
East Asia & Pacific (IDA & IBRD countries),TEA,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20000000000000E+00,2.80000000000000E+00,3.32777777777778E+00,4.14444444444444E+00,4.41666666666667E+00,9.42222222222222E+00,1.06333333333333E+01,1.12611111111111E+01,1.15473684210526E+01,1.16428571428571E+01,1.30904761904762E+01,1.42809523809524E+01
Euro area,EMU,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47687500000000E+01,2.83625000000000E+01,3.03882352941176E+01,3.11058823529412E+01,2.97833333333333E+01,3.15055555555555E+01,3.68277777777778E+01,4.43578947368421E+01,4.48315789473684E+01,4.55684210526316E+01,4.62000000000000E+01,4.79736842105263E+01
Europe & Central Asia,ECS,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17309523809524E+01,2.30023255813954E+01,2.53777777777778E+01,2.92800000000000E+01,3.13282608695652E+01,3.29468085106383E+01,3.60382978723404E+01,4.32021276595745E+01,4.24166666666667E+01,4.55224489795918E+01,4.58061224489796E+01,4.88000000000000E+01
Europe & Central Asia (excluding high income),ECA,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85000000000000E+00,2.82941176470588E+00,6.01666666666667E+00,1.02722222222222E+01,1.55833333333333E+01,1.71052631578947E+01,1.81947368421053E+01,2.45526315789474E+01,2.54315789473684E+01,2.99400000000000E+01,2.98550000000000E+01,3.43800000000000E+01
Europe & Central Asia (IDA & IBRD countries),TEC,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64444444444444E+00,4.53684210526316E+00,7.32000000000000E+00,1.54400000000000E+01,2.01150000000000E+01,2.23952380952381E+01,2.46952380952381E+01,3.05380952380952E+01,3.14333333333333E+01,3.55272727272727E+01,3.55181818181818E+01,3.99363636363636E+01
