Arab World,ARB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30282504098714E+01,5.58016965642821E+01,5.37504285645717E+01
Arab World,ARB,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81506350000000E+11,1.08204531000000E+12,9.49776280000000E+11
Caribbean small states,CSS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08487715755276E+01,1.82261033557110E+01,1.87396320734794E+01,1.68146642231646E+01,2.15301906212986E+01,2.37297918092315E+01,3.56499935188206E+01,3.58358991414665E+01,5.53820725845823E+01,4.15536486482939E+01,1.54823200371081E+01,2.49806993928412E+01,2.72579799785393E+01,1.90307645594741E+01,,,,
Central Europe and the Baltics,CEB,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73061800000000E+10,6.54526500000000E+10,6.65590200000000E+10,6.51765300000000E+10,1.06779930000000E+11,1.40917420000000E+11,2.53735990000000E+11,2.96257730000000E+11,5.15870700000000E+11,4.85032310000000E+11,2.18530060000000E+11,2.46576030000000E+11,2.79183050000000E+11,2.13609430000000E+11,,,,
Early-demographic dividend,EAR,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79427806320404E+01,3.40153346039269E+01,2.52401977402076E+01,3.96286259493582E+01,3.09068262621638E+01,2.47670240031096E+01,,3.64791018326421E+01,4.56397304842351E+01,5.14825449558350E+01,6.18016684170711E+01,8.30149716184231E+01,3.60466245118993E+01,6.47016780182531E+01,6.67984973745349E+01,4.67265850159534E+01,5.59113863771396E+01,5.61664409863052E+01,5.95901424595567E+01,6.12954120577781E+01
Early-demographic dividend,EAR,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92796980000000E+11,6.92409900000000E+11,4.95910580000000E+11,8.23994710300000E+11,6.97529388428571E+11,5.40584630000000E+11,,9.75977573727286E+11,1.46841843518299E+12,1.94151614420000E+12,2.72510020999927E+12,4.36886636729000E+12,2.07366582688000E+12,3.90402280101000E+12,4.91347008627000E+12,3.89716266243000E+12,4.53614612000000E+12,4.60856899000000E+12,4.93636014000000E+12,4.40568462000000E+12
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,4.64296693533941E+00,2.89960443530667E+01,3.76257137439857E+01,3.71037624043222E+01,3.48009406513842E+01,4.23427414863560E+01,4.51212357717006E+01,6.14696865838817E+01,8.19328240036803E+01,1.01691662357616E+02,1.14838031845788E+02,1.25039854394549E+02,8.28246965437523E+01,7.75294197204221E+01,5.81418474878584E+01,7.49395433901896E+01,7.82895715350241E+01,6.93581992701752E+01,7.15572798933432E+01,5.27025170284722E+01,6.72904870684272E+01,1.05411309104023E+02,7.23330377148224E+01,6.52609088843248E+01,6.20017405287215E+01,7.24564644962397E+01,7.70172372189108E+01,8.83044304720961E+01,1.04804098242366E+02,1.35458679194405E+02,6.19112229776988E+01,9.41552508970018E+01,9.70726811648006E+01,7.24160490706485E+01,7.73571812591002E+01,8.40999923339404E+01,9.17862367574419E+01,1.02651781512895E+02
East Asia & Pacific,EAS,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,4.71287500000000E+10,3.69290680000000E+11,5.06141270000000E+11,5.65634210000000E+11,5.10636200000000E+11,6.62053680000000E+11,7.55771680000000E+11,1.09364603000000E+12,2.02440397000000E+12,3.01961057000000E+12,4.25014937641600E+12,4.96690925000000E+12,3.44049833000000E+12,3.64900560000000E+12,2.98034420000000E+12,4.32971029000000E+12,4.99189106000000E+12,5.06348062000000E+12,4.95710851000000E+12,3.43577429000000E+12,3.79373953000000E+12,6.69824304880000E+12,4.93916477988900E+12,4.00510972737191E+12,3.80271656745286E+12,6.05270987531515E+12,7.21292584059300E+12,8.79809001753700E+12,1.10777675183180E+13,1.60441813732659E+13,8.51224337003757E+12,1.33288807941387E+13,1.58936423717890E+13,1.37239128214295E+13,1.57031658780622E+13,1.73634933400000E+13,1.94999183900000E+13,2.16041711900000E+13
East Asia & Pacific (excluding high income),EAP,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90470068539814E+01,3.27771552834754E+01,2.78011092748266E+01,4.80597914109001E+01,1.16497517971819E+02,3.81475104655974E+01,6.88174407221649E+01,6.82687744055052E+01,4.94405181003698E+01,5.03302890038061E+01,4.66624929423871E+01,6.12156617390231E+01,7.41064242521409E+01
East Asia & Pacific (excluding high income),EAP,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74082905315146E+11,8.50975460593004E+11,8.34252317536995E+11,1.73642879831798E+12,5.32992707326590E+12,2.24358033003757E+12,4.38555738413870E+12,5.27462422178901E+12,4.66753182142950E+12,5.21300452806215E+12,5.40795320000000E+12,7.62441339000000E+12,9.56376153000000E+12
East Asia & Pacific (IDA & IBRD countries),TEA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90470068539814E+01,3.27771552834754E+01,2.78011092748266E+01,4.80597914109001E+01,1.16497517971819E+02,3.81475104655974E+01,6.88174407221649E+01,6.82687744055053E+01,4.94405181003698E+01,5.03302890038061E+01,4.66624929423871E+01,6.12156617390231E+01,7.41064242521409E+01
East Asia & Pacific (IDA & IBRD countries),TEA,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74082905315146E+11,8.50975460593004E+11,8.34252317536995E+11,1.73642879831798E+12,5.32992707326590E+12,2.24358033003757E+12,4.38555738413870E+12,5.27462422178901E+12,4.66753182142950E+12,5.21300452806215E+12,5.40795320000000E+12,7.62441339000000E+12,9.56376153000000E+12
