Arab World,ARB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53204177861613E+02,,5.87341145075819E+01,4.41028493221160E+01,2.11403786083498E+01,1.99434238511800E+01,2.87180545317757E+01,2.19382876958287E+01,3.96717157891546E+01,3.07920896454576E+01
Arab World,ARB,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58573681000000E+12,,7.92886057000000E+11,5.29179480000000E+11,3.06924930000000E+11,3.79205990000000E+11,5.98463770000000E+11,4.71361500000000E+11,8.06297678176000E+11,5.44099780000000E+11
Arab World,ARB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85556382213548E+01,4.16353944111652E+01,6.99659935458757E+01,7.46720406272248E+01,3.26630109438518E+01,,,5.16435223610411E+00,7.17632110400309E+00,9.18879248503018E+00,3.96531321310295E+01,4.90475827738141E+01,3.66081785375745E+01,3.55401039984001E+01,7.29840385079525E+01,5.09074310652185E+01,4.20383903487483E+01,5.09402623424812E+01,8.50993411571277E+01,4.97985467250151E+01,7.72465388620228E+01,5.73765547051556E+01
Caribbean small states,CSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29732743885111E+00,5.49813902693365E+00,5.30520094127998E+00,4.61531791384749E+00,2.29695988601701E+00,1.40039476485422E+00,2.40415548573517E+00,2.87270165259266E+00,2.53767166967863E+00,,1.67349103311687E+00,1.15297825525042E+00,3.90238861275662E-01,3.66359216756254E-01,8.71403883483134E-01,1.51482562379223E+00,7.32833891048805E-01,3.78538554296511E+00,,,,
Central Europe and the Baltics,CEB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36935328779250E+00,3.71913760670279E+00,2.44054019682776E+00,4.84959725012161E+00,4.82161123104051E+00,4.29342273419197E+00,4.43228104997009E+00,7.90054442627198E+00,4.04190769687845E+00,3.60750437186451E+00,4.44682554261100E+00,7.21721112702468E+00,1.04327331961401E+01,1.28295085801785E+01,1.64634972328582E+01,8.40695910930765E+00,9.66446608282226E+00,9.89900045530166E+00,8.48062987184296E+00,7.34772140258725E+00,7.49492203175312E+00,6.86106032572743E+00,
Central Europe and the Baltics,CEB,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23110000000000E+09,7.34070000000000E+09,7.00900000000000E+09,1.51748900000000E+10,1.66326000000000E+10,1.65937800000000E+10,1.65045700000000E+10,2.91370800000000E+10,1.62569400000000E+10,1.84998000000000E+10,2.82023500000000E+10,5.49093100000000E+10,8.62480900000000E+10,1.19503790000000E+11,1.92169120000000E+11,1.18662660000000E+11,1.15277360000000E+11,1.21880540000000E+11,1.14467800000000E+11,9.22037600000000E+10,9.87410900000000E+10,7.80386800000000E+10,
Central Europe and the Baltics,CEB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49460001610866E+01,3.01271744050593E+01,4.79255079231983E+01,4.96282510038215E+01,3.84400281035254E+01,3.37612860433635E+01,4.27653070341576E+01,2.58792781513140E+01,1.28143699661599E+01,1.91149442602585E+01,2.10830973060936E+01,2.81031191074015E+01,2.50193256550383E+01,3.32341785559157E+01,5.39805048769841E+01,3.40697445973545E+01,3.56705453702837E+01,4.52867457233017E+01,3.41752262351604E+01,3.56359661518454E+01,3.45737105412763E+01,3.73163854346463E+01
Early-demographic dividend,EAR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15954349518477E+01,1.54558846649051E+01,1.03439220262104E+01,1.15491647287223E+01,1.06781769011040E+01,9.44585058923680E+00,1.08678635725414E+01,1.47738019308786E+01,1.31229854627740E+01,1.23076239342551E+01,2.17961168309381E+01,3.82714066940928E+01,5.32113981931749E+01,5.95064049161542E+01,5.20020881805973E+01,3.70431492343230E+01,3.86229795124524E+01,3.23946861486654E+01,2.25148640670133E+01,2.40510107581499E+01,2.22168748587189E+01,2.60597633640446E+01,2.92010487900718E+01
Early-demographic dividend,EAR,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85529510000000E+11,2.61656930000000E+11,1.76878169490000E+11,2.17873490000000E+11,2.60693140000000E+11,2.26307200000000E+11,2.77598476600000E+11,4.03184631250000E+11,3.80076282161718E+11,3.36646050581369E+11,6.45245212416406E+11,1.35965710395762E+12,2.18819142784849E+12,2.85713177482614E+12,2.94737224257808E+12,2.33388997600000E+12,2.34313978430000E+12,2.39558457000000E+12,1.88802410374000E+12,2.06760959000000E+12,1.93833786920000E+12,2.28338927181000E+12,2.09762580000000E+12
Early-demographic dividend,EAR,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,4.37665139984735E+00,3.72586855765802E+00,4.89272205925956E+00,1.47349880701875E+01,1.72051492891555E+01,1.33260561822644E+01,7.65188150278363E+00,1.61910368975619E+01,6.20762541675063E+00,9.52571035979724E+00,1.01186543812340E+01,1.53270356021622E+01,1.14724646367266E+01,1.25671753884537E+01,1.59917142857976E+01,1.50972393240939E+01,2.13171575778168E+01,2.73300188653726E+01,5.02771078126794E+01,2.99665589525107E+01,2.95545743816147E+01,3.86362400852532E+01,4.64279121765772E+01,3.28962558066789E+01,6.31880702858982E+01,4.13551949586411E+01,3.76431624658612E+01,2.97655141931402E+01,5.25912406495731E+01,5.44116431176201E+01,5.37440296051778E+01,5.03324467698170E+01,9.58968967058442E+01,5.47858871228455E+01,4.89956157431377E+01,5.07344047272790E+01,4.47964869106062E+01,4.44470369637245E+01,4.55981445705896E+01,4.74949293364824E+01
