Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,"All education staff compensation, primary (% of total expenditure in primary public institutions)",SE.XPD.MPRM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",SE.XPD.MSEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.MTER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"All education staff compensation, total (% of total expenditure in public institutions)",SE.XPD.MTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"All education staff compensation, primary (% of total expenditure in primary public institutions)",SE.XPD.MPRM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61575200000000E+01,8.24737200000000E+01,8.83737700000000E+01,,9.16583100000000E+01,8.65602400000000E+01,8.93037800000000E+01,,8.91354800000000E+01,9.06086800000000E+01,,7.91694400000000E+01,
Caribbean small states,CSS,"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",SE.XPD.MSEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82435900000000E+01,9.05645400000000E+01,9.33448100000000E+01,,8.90428200000000E+01,8.16304200000000E+01,9.65894900000000E+01,,9.20468400000000E+01,9.40051600000000E+01,,7.33351300000000E+01,
Caribbean small states,CSS,"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.MTER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07007200000000E+01,,9.34551000000000E+01,9.67513100000000E+01,,,9.87377500000000E+01,9.14132300000000E+01,,7.76637000000000E+01,9.45497800000000E+01,,8.91536600000000E+01,
Caribbean small states,CSS,"All education staff compensation, total (% of total expenditure in public institutions)",SE.XPD.MTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25990200000000E+01,,8.80770200000000E+01,,,,8.56496100000000E+01,9.30275600000000E+01,,8.76941600000000E+01,9.24274200000000E+01,,7.85109300000000E+01,
Central Europe and the Baltics,CEB,"All education staff compensation, primary (% of total expenditure in primary public institutions)",SE.XPD.MPRM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20416800000000E+01,6.98648700000000E+01,7.03254300000000E+01,7.22953700000000E+01,6.82455100000000E+01,6.60926500000000E+01,6.59632300000000E+01,6.50462400000000E+01,6.73281600000000E+01,6.70333000000000E+01,6.84106900000000E+01,6.56357200000000E+01,,,
Central Europe and the Baltics,CEB,"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",SE.XPD.MSEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16075000000000E+01,6.82625050000000E+01,7.08710500000000E+01,7.13599950000000E+01,6.73225500000000E+01,6.67291800000000E+01,6.49740800000000E+01,6.65556700000000E+01,6.83924050000000E+01,6.89436600000000E+01,6.56590900000000E+01,,,,
