Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26356272239174E+01,2.50012080147282E+01,2.40001243986866E+01,2.49490100590608E+01,2.15801382668709E+01,2.07117743757757E+01,2.04470671239801E+01,1.95642499376905E+01,1.78768443457982E+01,1.71156341433202E+01,1.60380658604942E+01,1.49609346272259E+01,1.41110245783479E+01,1.36965163136756E+01,1.32296369761821E+01,1.27886156503121E+01,1.24222966274183E+01,1.18199341672976E+01,1.13679616089886E+01,1.09561903142867E+01,1.13527175942941E+01,
Central Europe and the Baltics,CEB,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59798517465763E+01,2.68361901007168E+01,2.34194179242031E+01,2.24566051708737E+01,2.19011480493588E+01,2.07601828525528E+01,1.87069690515529E+01,1.77926638120279E+01,1.66256110684630E+01,1.53475186253145E+01,1.42450713063831E+01,1.37911410633156E+01,1.32693102117890E+01,1.27251253722652E+01,1.24507699228961E+01,1.18574185739786E+01,1.12532040841261E+01,1.06169914581388E+01,1.08446072687659E+01,
Central Europe and the Baltics,CEB,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21470935483510E+01,2.34385554844286E+01,2.00321265700149E+01,1.92216440987297E+01,1.92139590412748E+01,1.85386056622600E+01,1.71896333744274E+01,1.65413155689426E+01,1.55770004212172E+01,1.46726585595859E+01,1.39933884973218E+01,1.35655656671870E+01,1.32162747942200E+01,1.28219471113031E+01,1.24083998334336E+01,1.18036647892671E+01,1.14996643475873E+01,1.12121797022962E+01,1.17847002392993E+01,
Central Europe and the Baltics,CEB,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17894148308991E+01,5.90757378292349E+01,6.08821100181365E+01,5.75802037509113E+01,6.57557844460619E+01,6.63037847569858E+01,6.59149639294432E+01,6.62372600228531E+01,6.74498980386310E+01,6.71078808233440E+01,6.69232733383359E+01,6.68825118151708E+01,6.69103884051078E+01,6.67279288603100E+01,6.61940850359178E+01,6.54816309442419E+01,6.48667522359974E+01,6.43881281258988E+01,6.39088196957779E+01,6.32276165372696E+01,6.20246339920481E+01,
Central Europe and the Baltics,CEB,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78924167782659E+01,5.38747291208997E+01,6.28704397755218E+01,6.35161677085011E+01,6.29351748643071E+01,6.32103223941907E+01,6.43707584608975E+01,6.40981925982315E+01,6.37381398209426E+01,6.34352089365027E+01,6.33563229685263E+01,6.28933350906155E+01,6.20906472635682E+01,6.08789153556144E+01,5.99946227758663E+01,5.91702373414473E+01,5.84922819710514E+01,5.78689248276131E+01,5.66886619226375E+01,
Central Europe and the Baltics,CEB,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45133280563801E+01,6.09641762554107E+01,6.81929074066834E+01,6.86797438605312E+01,6.84904127531652E+01,6.88824074575084E+01,7.00420092053906E+01,6.96632952586039E+01,6.96133151470493E+01,6.97164288107240E+01,6.98502382158390E+01,6.99188016010570E+01,6.96318150921662E+01,6.92826836353665E+01,6.88882711071278E+01,6.87082791452265E+01,6.83508717991200E+01,6.76485834897655E+01,6.64793207489452E+01,
Central Europe and the Baltics,CEB,Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55499601340904E+01,1.53498413288881E+01,1.46178926492937E+01,1.74232402460354E+01,1.25978432979636E+01,1.29399335299269E+01,1.36267843458008E+01,1.37533018362410E+01,1.43170525484914E+01,1.53650385393324E+01,1.66542309695417E+01,1.78391931428278E+01,1.87076957223540E+01,1.93103804014389E+01,2.03357052301723E+01,2.15452611579815E+01,2.25522047555084E+01,2.36406030248081E+01,2.46077299566884E+01,2.56857268730994E+01,2.66169329109725E+01,
Central Europe and the Baltics,CEB,"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52534870027979E+01,1.93202045098553E+01,1.36234949876826E+01,1.39983484027964E+01,1.51475118204371E+01,1.54633280607938E+01,1.64255462087246E+01,1.76043683804392E+01,1.92140361386845E+01,2.08437591371826E+01,2.20731117081859E+01,2.29879121924395E+01,2.44509938473208E+01,2.62086628821360E+01,2.74066933395834E+01,2.88006329675051E+01,3.01303053776991E+01,3.13868707590139E+01,3.24783342177411E+01,
Central Europe and the Baltics,CEB,"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30049176329268E+01,1.56414958737312E+01,1.17375665475096E+01,1.20495370554233E+01,1.22956281174566E+01,1.22722709987968E+01,1.25224034438115E+01,1.34927770295576E+01,1.44589955361515E+01,1.53088317249408E+01,1.58673892720581E+01,1.62708233165966E+01,1.69258839374030E+01,1.76858006309570E+01,1.85241634926704E+01,1.93865064181349E+01,2.00508166486891E+01,2.09707041840602E+01,2.17262408912047E+01,
Early-demographic dividend,EAR,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90444596914578E+01,,,,,
Early-demographic dividend,EAR,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35957845888311E+01,,,,,
Early-demographic dividend,EAR,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86334023009570E+01,,,,,
Early-demographic dividend,EAR,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57760075877049E+01,,,,,
Early-demographic dividend,EAR,Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21734319649936E+01,,,,,
Early-demographic dividend,EAR,"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25469411104701E+01,,,,,
Early-demographic dividend,EAR,"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20286698243442E+01,,,,,
East Asia & Pacific,EAS,Labor force with primary education (% of total),SL.TLF.PRIM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Labor force with secondary education (% of total),SL.TLF.SECO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
