Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Arab World,ARB,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71875000000000E+00,1.58888888888889E+00,2.89444444444444E+00,2.52000000000000E+00,3.83000000000000E+00,3.71000000000000E+00,4.18000000000000E+00,6.53000000000000E+00,7.10952380952381E+00,6.52857142857143E+00,6.92380952380952E+00,8.60000000000000E+00
Caribbean small states,CSS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Central Europe and the Baltics,CEB,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08181818181818E+00,2.23636363636364E+00,3.34545454545455E+00,4.23636363636364E+00,5.11818181818182E+00,9.82727272727273E+00,1.24545454545455E+01,1.40636363636364E+01,1.55181818181818E+01,1.70090909090909E+01,1.75636363636364E+01,1.89363636363636E+01
Early-demographic dividend,EAR,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06444444444444E+00,3.68113207547170E+00,4.12075471698113E+00,4.90000000000000E+00,5.52777777777778E+00,6.08333333333333E+00,6.36296296296296E+00,6.29444444444444E+00,7.18392857142857E+00,8.27704918032787E+00,8.52459016393443E+00,8.90983606557377E+00
East Asia & Pacific,EAS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54166666666667E+00,1.64583333333333E+00,2.20400000000000E+00,2.58000000000000E+00,3.56000000000000E+00,3.58800000000000E+00,4.30400000000000E+00,5.39600000000000E+00,6.05000000000000E+00,9.83448275862069E+00,9.52068965517241E+00,1.20379310344828E+01
East Asia & Pacific (excluding high income),EAP,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05555555555556E+00,2.19444444444444E+00,3.06111111111111E+00,3.58333333333333E+00,4.94444444444444E+00,4.98333333333333E+00,5.97777777777778E+00,7.49444444444444E+00,8.27894736842105E+00,1.09285714285714E+01,1.04523809523810E+01,1.37095238095238E+01
East Asia & Pacific (IDA & IBRD countries),TEA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05555555555556E+00,2.19444444444444E+00,3.06111111111111E+00,3.58333333333333E+00,4.94444444444444E+00,4.98333333333333E+00,5.97777777777778E+00,7.49444444444444E+00,8.27894736842105E+00,1.09285714285714E+01,1.04523809523810E+01,1.37095238095238E+01
Euro area,EMU,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16500000000000E+01,1.17937500000000E+01,1.21764705882353E+01,1.29352941176471E+01,1.32500000000000E+01,1.62611111111111E+01,1.74055555555556E+01,1.91263157894737E+01,2.11684210526316E+01,2.24684210526316E+01,2.26526315789474E+01,2.33315789473684E+01
Europe & Central Asia,ECS,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64761904761905E+00,5.05813953488372E+00,5.47555555555556E+00,6.07333333333333E+00,7.41304347826087E+00,1.06170212765957E+01,1.22106382978723E+01,1.46510638297872E+01,1.53041666666667E+01,1.57673469387755E+01,1.70183673469388E+01,1.89938775510204E+01
Europe & Central Asia (excluding high income),ECA,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18750000000000E-01,1.52941176470588E+00,1.99444444444444E+00,2.73333333333333E+00,5.43888888888889E+00,1.06000000000000E+01,1.34578947368421E+01,1.67947368421053E+01,1.71736842105263E+01,1.69650000000000E+01,1.98550000000000E+01,2.40350000000000E+01
