Country_Name,Country_Code,Indicator_Name,Indicator_Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Arab World,ARB,Surface area (sq. km),AG.SRF.TOTL.K2,,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817510000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817710000000E+07,1.37817810000000E+07,1.37817910000000E+07,1.37818010000000E+07,1.37818010000000E+07,1.37818110000000E+07,1.37818210000000E+07,1.37792810000000E+07,1.37792830000000E+07,1.31528355000000E+07,1.31528385000000E+07,1.31528385000000E+07,1.31528385000000E+07,1.31528385000000E+07
Caribbean small states,CSS,Surface area (sq. km),AG.SRF.TOTL.K2,,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.35080000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05,4.34990000000000E+05
Central Europe and the Baltics,CEB,Surface area (sq. km),AG.SRF.TOTL.K2,,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13496900000000E+06,1.13496900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13489900000000E+06,1.13495900000000E+06,1.13495900000000E+06,1.13494900000000E+06,1.13494900000000E+06,1.13495400000000E+06,1.13496000000000E+06,1.13490700000000E+06,1.13487600000000E+06,1.13487600000000E+06,1.13488600000000E+06,1.13488600000000E+06,1.13488600000000E+06
Early-demographic dividend,EAR,Surface area (sq. km),AG.SRF.TOTL.K2,,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42578500000000E+07,3.42585500000000E+07,3.42585700000000E+07,3.41409700000000E+07,3.41340470000000E+07,3.41340470000000E+07,3.41340470000000E+07,3.41340470000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068570000000E+07,3.41068670000000E+07,3.41051940000000E+07,3.41052040000000E+07,3.41052040000000E+07,3.41052140000000E+07,3.41052240000000E+07,3.41057640000000E+07,3.41057680000000E+07,3.41057730000000E+07,3.41057760000000E+07,3.41057760000000E+07,3.41057760000000E+07,3.41057760000000E+07
East Asia & Pacific,EAS,Surface area (sq. km),AG.SRF.TOTL.K2,,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48207900000000E+07,2.48207900000000E+07,2.48228300000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48229100000000E+07,2.48215700000000E+07,2.48215800000000E+07,2.48215800000000E+07,2.48222500000000E+07,2.48240800000000E+07,2.48241100000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48241300000000E+07,2.48222600000000E+07,2.48226302000000E+07,2.48227452000000E+07,2.48227867000000E+07,2.48228235000000E+07,2.48247508000000E+07,2.48247960000000E+07,2.48248470000000E+07,2.48248110000000E+07,2.48248885000000E+07,2.48249297000000E+07,2.48249309000000E+07,2.48250789000000E+07,2.48251983000000E+07,2.48251983000000E+07,2.48251983000000E+07
East Asia & Pacific (excluding high income),EAP,Surface area (sq. km),AG.SRF.TOTL.K2,,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62681600000000E+07,1.62681600000000E+07,1.62702000000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62702800000000E+07,1.62689400000000E+07,1.62689500000000E+07,1.62689500000000E+07,1.62696200000000E+07,1.62709900000000E+07,1.62710200000000E+07,1.62710400000000E+07,1.62710400000000E+07,1.62710300000000E+07,1.62710200000000E+07,1.62710200000000E+07,1.62710200000000E+07,1.62710200000000E+07,1.62691400000000E+07,1.62691442000000E+07,1.62691932000000E+07,1.62692027000000E+07,1.62692065000000E+07,1.62711038000000E+07,1.62711034000000E+07,1.62711028000000E+07,1.62709418000000E+07,1.62709420000000E+07,1.62708480000000E+07,1.62708420000000E+07,1.62708630000000E+07,1.62708630000000E+07,1.62708630000000E+07,1.62708630000000E+07
East Asia & Pacific (IDA & IBRD countries),TEA,Surface area (sq. km),AG.SRF.TOTL.K2,,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61474400000000E+07,1.61474400000000E+07,1.61494800000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61495600000000E+07,1.61482200000000E+07,1.61482300000000E+07,1.61482300000000E+07,1.61489000000000E+07,1.61502700000000E+07,1.61503000000000E+07,1.61503200000000E+07,1.61503200000000E+07,1.61503100000000E+07,1.61503000000000E+07,1.61503000000000E+07,1.61503000000000E+07,1.61503000000000E+07,1.61484200000000E+07,1.61484242000000E+07,1.61484732000000E+07,1.61484827000000E+07,1.61484865000000E+07,1.61503838000000E+07,1.61503834000000E+07,1.61503828000000E+07,1.61502218000000E+07,1.61502220000000E+07,1.61501280000000E+07,1.61501220000000E+07,1.61501430000000E+07,1.61501430000000E+07,1.61501430000000E+07,1.61501430000000E+07
Euro area,EMU,Surface area (sq. km),AG.SRF.TOTL.K2,,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72525500000000E+06,2.72527500000000E+06,2.72528500000000E+06,2.72530500000000E+06,2.72531500000000E+06,2.72531500000000E+06,2.72531500000000E+06,2.72531500000000E+06,2.75744500000000E+06,2.75746500000000E+06,2.75777500000000E+06,2.75782500000000E+06,2.75783500000000E+06,2.75785500000000E+06,2.75815500000000E+06,2.75814400000000E+06,2.75816000000000E+06,2.75829600000000E+06,2.75848000000000E+06,2.75842200000000E+06,2.75879600000000E+06,2.75881200000000E+06,2.75881200000000E+06,2.75881200000000E+06
Europe & Central Asia,ECS,Surface area (sq. km),AG.SRF.TOTL.K2,,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608570000000E+07,2.83608590000000E+07,2.83609490000000E+07,2.83609590000000E+07,2.83609890000000E+07,2.83610690000000E+07,2.84298090000000E+07,2.84297390000000E+07,2.84297390000000E+07,2.84618690000000E+07,2.84618890000000E+07,2.84621990000000E+07,2.84622490000000E+07,2.84623290000000E+07,2.84623490000000E+07,2.84626390000000E+07,2.84626280000000E+07,2.84626440000000E+07,2.84627790000000E+07,2.84629690000000E+07,2.84629110000000E+07,2.84604050000000E+07,2.84604210000000E+07,2.84604210000000E+07,2.84604210000000E+07
Europe & Central Asia (excluding high income),ECA,Surface area (sq. km),AG.SRF.TOTL.K2,,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837670000000E+07,2.34837690000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838490000000E+07,2.34838490000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838390000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838590000000E+07,2.34838580000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07,2.34838680000000E+07
